"","season","off","fumbles","fep","fumble_rate_100","post"
"204",2006,"IND",10,817,1.22399020807834,0
"205",2006,"JAC",13,817,1.59118727050184,0
"206",2006,"KC",20,829,2.41254523522316,0
"207",2006,"MIA",13,787,1.65184243964422,0
"208",2006,"MIN",25,823,3.03766707168894,0
"209",2006,"NE",24,855,2.80701754385965,0
"210",2006,"NO",18,869,2.07134637514384,0
"211",2006,"NYG",17,780,2.17948717948718,0
"212",2006,"NYJ",16,845,1.89349112426035,0
"213",2006,"OAK",30,735,4.08163265306122,0
"214",2006,"PHI",18,771,2.33463035019455,0
"215",2006,"PIT",20,839,2.38379022646007,0
"216",2006,"SD",12,837,1.4336917562724,0
"217",2006,"SEA",19,830,2.28915662650602,0
"218",2006,"SF",19,734,2.58855585831063,0
"219",2006,"STL",15,848,1.7688679245283,0
"220",2006,"TB",24,734,3.26975476839237,0
"221",2006,"TEN",21,729,2.88065843621399,0
"222",2006,"WAS",17,783,2.17113665389527,0
"223",2007,"ARI",26,785,3.31210191082803,1
"224",2007,"ATL",15,768,1.953125,1
"225",2007,"BAL",23,831,2.76774969915764,1
"226",2007,"BUF",15,740,2.02702702702703,1
"227",2007,"CAR",21,768,2.734375,1
"228",2007,"CHI",24,796,3.01507537688442,1
"229",2007,"CIN",15,806,1.86104218362283,1
"230",2007,"CLE",16,763,2.09698558322412,1
"231",2007,"DAL",14,785,1.78343949044586,1
"232",2007,"DEN",25,791,3.16055625790139,1
"233",2007,"DET",31,748,4.14438502673797,1
"234",2007,"GB",24,795,3.0188679245283,1
"235",2007,"HOU",23,787,2.92249047013977,1
"236",2007,"IND",11,825,1.33333333333333,1
"237",2007,"JAC",12,844,1.4218009478673,1
"238",2007,"KC",17,776,2.19072164948454,1
"239",2007,"MIA",19,749,2.53671562082777,1
"240",2007,"MIN",22,786,2.79898218829517,1
"241",2007,"NE",11,876,1.25570776255708,1
"242",2007,"NO",23,847,2.71546635182999,1
"243",2007,"NYG",20,797,2.50941028858218,1
"244",2007,"NYJ",16,816,1.96078431372549,1
"245",2007,"OAK",31,810,3.82716049382716,1
"246",2007,"PHI",14,821,1.70523751522533,1
"247",2007,"PIT",15,845,1.77514792899408,1
"248",2007,"SD",14,792,1.76767676767677,1
"249",2007,"SEA",16,840,1.9047619047619,1
"250",2007,"SF",32,692,4.6242774566474,1
"251",2007,"STL",19,791,2.40202275600506,1
"252",2007,"TB",14,806,1.73697270471464,1
"253",2007,"TEN",22,863,2.54924681344148,1
"254",2007,"WAS",31,846,3.66430260047281,1
"255",2008,"ARI",22,787,2.79542566709022,1
"256",2008,"ATL",13,843,1.54211150652432,1
"257",2008,"BAL",23,890,2.58426966292135,1
"258",2008,"BUF",26,791,3.28697850821745,1
"259",2008,"CAR",11,771,1.42671854734112,1
"260",2008,"CHI",12,769,1.56046814044213,1
"261",2008,"CIN",24,773,3.10478654592497,1
"262",2008,"CLE",16,672,2.38095238095238,1
"263",2008,"DAL",24,765,3.13725490196078,1
"264",2008,"DEN",14,786,1.78117048346056,1
"265",2008,"DET",24,685,3.5036496350365,1
"266",2008,"GB",17,813,2.0910209102091,1
"267",2008,"HOU",21,831,2.52707581227437,1
"268",2008,"IND",8,777,1.02960102960103,1
"269",2008,"JAC",17,805,2.11180124223602,1
"270",2008,"KC",16,726,2.20385674931129,1
"271",2008,"MIA",15,806,1.86104218362283,1
"272",2008,"MIN",23,834,2.75779376498801,1
"273",2008,"NE",14,909,1.54015401540154,1
"274",2008,"NO",16,824,1.94174757281553,1
"275",2008,"NYG",13,828,1.57004830917874,1
"276",2008,"NYJ",19,802,2.36907730673317,1
"277",2008,"OAK",21,720,2.91666666666667,1
"278",2008,"PHI",12,816,1.47058823529412,1
"279",2008,"PIT",22,818,2.68948655256724,1
"280",2008,"SD",12,760,1.57894736842105,1
"281",2008,"SEA",14,718,1.94986072423398,1
"282",2008,"SF",31,761,4.07358738501971,1
"283",2008,"STL",16,757,2.11360634081902,1
"284",2008,"TB",16,839,1.90703218116806,1
"285",2008,"TEN",15,785,1.91082802547771,1
"286",2008,"WAS",17,838,2.02863961813842,1
"287",2009,"ARI",27,785,3.43949044585987,1
"288",2009,"ATL",14,810,1.72839506172839,1
"289",2009,"BAL",14,829,1.68878166465621,1
"290",2009,"BUF",13,732,1.77595628415301,1
"291",2009,"CAR",19,827,2.29746070133011,1
"292",2009,"CHI",18,751,2.39680426098535,1
"293",2009,"CIN",20,821,2.43605359317905,1
"294",2009,"CLE",16,745,2.14765100671141,1
"295",2009,"DAL",12,817,1.468788249694,1
"296",2009,"DEN",12,814,1.47420147420147,1
"297",2009,"DET",17,772,2.2020725388601,1
"298",2009,"GB",15,851,1.76263219741481,1
"299",2009,"HOU",18,851,2.11515863689777,1
"300",2009,"IND",9,781,1.15236875800256,1
"301",2009,"JAC",22,811,2.71270036991369,1
"302",2009,"KC",21,780,2.69230769230769,1
"303",2009,"MIA",21,878,2.39179954441913,1
"304",2009,"MIN",11,874,1.25858123569794,1
"305",2009,"NE",14,877,1.5963511972634,1
"306",2009,"NO",19,869,2.18642117376295,1
"307",2009,"NYG",25,814,3.07125307125307,1
"308",2009,"NYJ",18,847,2.12514757969303,1
"309",2009,"OAK",21,715,2.93706293706294,1
"310",2009,"PHI",17,753,2.25763612217796,1
"311",2009,"PIT",16,838,1.90930787589499,1
"312",2009,"SD",11,795,1.38364779874214,1
"313",2009,"SEA",28,810,3.45679012345679,1
"314",2009,"SF",10,724,1.38121546961326,1
"315",2009,"STL",15,772,1.94300518134715,1
"316",2009,"TB",23,719,3.19888734353268,1
"317",2009,"TEN",21,786,2.67175572519084,1
"318",2009,"WAS",20,781,2.56081946222791,1
"319",2010,"ARI",24,656,3.65853658536585,1
"320",2010,"ATL",10,881,1.13507377979569,1
"321",2010,"BAL",17,839,2.02622169249106,1
"322",2010,"BUF",25,736,3.39673913043478,1
"323",2010,"CAR",23,734,3.13351498637602,1
"324",2010,"CHI",17,750,2.26666666666667,1
"325",2010,"CIN",18,822,2.18978102189781,1
"326",2010,"CLE",21,750,2.8,1
